market,cut,n,wr,roi,roi_lo,roi_hi,clv,verdict
pitcher_strikeouts,all,1949,50.6,-6.08,-10.31,-1.86,1.59,FAIL
pitcher_strikeouts,minus-money,1244,56.7,-2.84,-7.6,1.91,1.74,FAIL
pitcher_strikeouts,conf>=60 minus-money,477,61.0,3.34,-4.14,10.83,1.91,FAIL
hits,all,15005,54.2,-5.36,-7.85,-2.87,1.38,FAIL
hits,minus-money,10498,61.9,-4.13,-5.59,-2.67,1.16,FAIL
hits,conf>=60 minus-money,2508,64.8,-3.46,-6.28,-0.63,1.2,FAIL
total_bases,all,14351,54.4,-7.08,-8.57,-5.59,0.94,FAIL
total_bases,minus-money,9516,62.8,-5.56,-7.05,-4.07,0.95,FAIL
total_bases,conf>=60 minus-money,5574,66.1,-3.66,-5.51,-1.81,0.88,FAIL
rbis,all,11576,56.9,-6.53,-8.25,-4.81,1.41,FAIL
rbis,minus-money,7415,71.4,-3.44,-4.85,-2.03,1.68,FAIL
rbis,conf>=60 minus-money,3925,73.8,-2.01,-3.86,-0.17,1.6,FAIL
home_runs,all,14604,76.1,-11.53,-13.08,-9.98,0.81,FAIL
home_runs,minus-money,12496,87.9,-4.51,-5.14,-3.88,0.85,FAIL
home_runs,conf>=60 minus-money,9319,89.3,-3.61,-4.3,-2.92,0.98,FAIL
runs_scored,all,6859,56.5,-3.79,-5.9,-1.69,0.68,FAIL
runs_scored,minus-money,5000,62.9,-1.9,-4.02,0.23,0.6,FAIL
runs_scored,conf>=60 minus-money,1903,63.5,-3.77,-7.09,-0.44,0.67,FAIL
spreads,all,3367,50.0,-5.66,-9.08,-2.24,0.83,FAIL
spreads,minus-money,1876,60.1,-3.6,-7.22,0.02,0.46,FAIL
spreads,conf>=60 minus-money,513,65.3,5.53,-1.33,12.39,0.22,PASS
h2h,all,1670,50.0,-6.07,-11.0,-1.15,0.49,FAIL
h2h,minus-money,920,59.8,-1.45,-6.86,3.96,-2.23,FAIL
h2h,conf>=60 minus-money,490,62.0,1.94,-5.36,9.25,-2.49,FAIL
totals,all,4204,50.3,-5.74,-8.62,-2.87,0.58,FAIL
totals,minus-money,3158,53.5,-2.77,-5.96,0.41,0.51,FAIL
totals,conf>=60 minus-money,1148,54.4,-1.69,-6.95,3.57,0.56,FAIL
pitcher_outs,all,798,49.5,-6.37,-13.03,0.3,1.28,FAIL
pitcher_outs,minus-money,522,54.0,-4.38,-12.0,3.24,1.18,FAIL
pitcher_outs,conf>=60 minus-money,176,60.2,4.4,-8.25,17.06,1.24,FAIL
